Headword,Greek ,Part of Speech,English
διαφθείρω,"διαφθείρω, διαφθερῶ, διέφθειρα, διεφθάρην",verb,I destroy
διδάσκω,"διδάσκω, διδάξω, ἐδιδαξα, ἐδιδάχθην",verb,"I teach, tell"
δίκαιος,"δίκαιος, δικαία, δίκαιον",,"just, fair, upright"
διότι,διότι,,because
διώκω,"διώκω, διώξω, ἐδίωξα, ἐδιώχθην",verb,"I chase, pursue, prosecute"
δοκεῖ,"δοκεῖ (μοι), δόξει, ἔδοξε",verb,(I) decide (= it seems good (to me))
δοῦλος,"δοῦλος, δούλου, ὁ",,slave
δοῦναι,δοῦναι,,"to give, to have given (aor infin)"
δύο,"δύο, δύο, δύο",,two
δυστυχής,"δυστυχής, δυστυχής, δυστυχέσ",,unlucky
δῶρον,"δῶρον, δώρου, τό",,"present, gift"
εἄν,εἄν,,if
ἑαυτόν,"ἑαυτόν, ἑαυτήν, ἑαυτό",,"(acc./gen./dat. only) himself, herself, itself, themselves"
ἐγώ,"ἐγώ, ἐμοῦ",,"I, (acc. etc — me)"
ἐθέλω,"ἐθέλω, ἐθελήσω, ἠθέλησα",verb,"I wish, am willing"
εἰ,εἰ,,if
εἰδέναι,εἰδέναι,,(cf. οἶδα) to know
εἰδώς,"εἰδώς, εἰδυῖα, εἰδός, ",,knowing
εἰμί,"εἰμί, ἔσομαι, ἦν",verb,I am
εἰρήνη,"εἰρήνη, εἰρήνης, ἡ",,peace
εἰς,εἰς,,"(+ acc.) to, into"
εἷς,"εἷς, μία, ἕν",,one
εἰς τοσοῦτον,εἰς τοσοῦτον,,to such an extent
εἰσβάλλω,εἰσβάλλω,verb,"I throw into, invade"
ἐκ,"ἐκ, or ἐξ",,"(+ gen.) out of, from"
ἐξ,"ἐκ, or ἐξ",,"(+ gen.) out of, from"
ἕκαστος,"ἕκαστος, ἑκάστη, ἕκαστον",,each
ἐκεῖ,ἐκεῖ,,there
ἐκεῖνος,"ἐκεῖνος, ἐκείνη, ἐκεῖνο",,"that, those"
ἐκκλησία,"ἐκκλησία, ἐκκλησίας, ἡ",,"assembly, meeting"
ἐκφεύγω,ἐκφεύγω,verb,I escape
ἐλεύθερος,"ἐλεύθερος, ἐλευθέρα, ἐλεύθερον",,free
Ἑλλάς,"Ἑλλάς, Ἑλλάδος, ἡ",,Greece
Ἕλλην,"Ἕλλην, Ἕλληνος, ὁ",,a Greek
ἐλπίζω,"ἐλπίζω, ἐλπιῶ, ἤλπισα",verb,"I hope, expect"
ἐμός,"ἐμός, ἐμή, ἐμόν",,"my, mine"
ἐν,ἐν,,"(+ dat.) in, among"
ἐνθάδε,ἐνθάδε,,"here, there"
ἐννέα,ἐννέα,,nine
ἔνοικος,"ἔνοικος, ἐνοίκου, ὁ",,inhabitant
ἕξ,ἕξ,,six
ἔξεστι,ἔξεστι(ν) (μοι),verb,"I am allowed, I can (=it is permitted to me)"
ἐπεί,ἐπεί,,"when, since"
ἔπειτα,ἔπειτα,,"then, afterwards"
ἐπί,ἐπί,,"(+ acc.) against, onto, on, at"
ἐπιστολή,"ἐπιστολή, ἐπιστολῆς, ἡ",,letter
ἕπομαι,"ἕπομαι, ἕψομαι, ἑσπόμην",verb,(+ dat.) I follow
ἕπτα,ἕπτα,,seven
ἔργον,"ἔργον, ἔργου, τό",,"work, task, deed, action"
ἔρχομαι,"ἔρχομαι, εἶμι, ἦλθον",verb,"I go, come"
ἐρωτάω,"ἐρωτάω, ἐρωτήσω, ἠρόμην, (or, ἠρώτησα)",verb,I ask (a question)
ἐσθίω,"ἐσθίω, ἔδομαι, ἔφαγον",verb,I eat
ἑσπέρα,"ἑσπέρα, ἑσπέρας, ἡ",,evening
ἔτι,ἔτι,,"still, yet"
ἑτοῖμος,"ἑτοῖμος, ἑτοίμη, ἑτοῖμον",,ready
ἔτος,"ἔτος, ἔτους, τό",,year
εὖ,εὖ,,well
εὐθύς,εὐθύς,,"immediately, at once "
εὑρίσκω,"εὑρίσκω, εὑρήσω, ηὗρον, ηὑρέθην",verb,I find
εὐρύς,"εὐρύς, εὐρεῖα, εὐρύ",,"wide, broad"
εὐτυχής,"εὐτυχής, εὐτυχής, εὐτυχέσ",,"lucky, fortunate"
ἔφη,ἔφη,verb,he/she said (with direct speech)
ἐχθρός,"ἐχθρός, ἐχθρά, ἐχθρόν",,hostile
ἐχθρός,"ἐχθρός, ἐχθροῦ, ὁ",,(personal) enemy
ἔχω,"ἔχω, ἕξω, ἔσχον, (imperfect, εἶχον)",verb,I have
ἕως,ἕως,,"while, until"
Ζεύς,"Ζεύς, Διός, ὁ",,Zeus
ζητέω,ζητέω,verb,I seek
ἤ,ἤ,,"or, than"
ἤ...ἤ...,ἤ...ἤ...,,either...or...
ἡγεμών,"ἡγεμών, ἡγεμόνος, ὁ",,"guide, leader"
ἤδη,ἤδη,,"already, by now"
ἡδύς,"ἡδύς, ἡδεῖα, ἡδύ",,"pleasant, sweet"
ἡμεῖς,"ἡμεῖς, ἡμῶν",,"we, us"
ἡμέρα,"ἡμέρα, ἡμέρας, ἡ",,day
ἡμέτερος,"ἡμέτερος, ἡμετέρα, ἡμέτερον",,our
θάλασσα,"θάλασσα, θαλάσσης, ἡ",,sea
θάνατος,"θάνατος, θανάτου, ὁ",,death
θάπτω,"θάπτω, θάψω, ἔθαψα",verb,I bury
θαυμάζω,θαυμάζω,verb,"I am amazed at, admire"
θεά,"θεά, θεᾶς, ἡ",,goddess
θεός,"θεός, θεοῦ, ὁ, ἡ",,god
θυγάτηρ,"θυγάτηρ, θυγατρός, ἡ",,daughter
θύρα,"θύρα, θύρας, ἡ",,door
θύω,θύω,verb,I sacrifice
ἰατρός,"ἰατρός, ἰατροῦ, ὁ",,doctor
ἰέναι,ἰέναι,,to go
ἱερόν,"ἱερόν, ἱεροῦ, τό",,temple
ἱερός,"ἱερός, ἱερά, ἱερόν",,"sacred, holy"
ἵνα,ἵνα,,"(+ subj. or opt.) in order that, in order to"
ἱππεύς,"ἱππεύς, ἱππέως, ὁ",,"cavalryman, in plural, (the) cavalry"
ἵππος,"ἵππος, ἵππου, ὁ",,horse
ἰσχυρός,"ἰσχυρός, ἰσχυρά, ἰσχυρόν",,strong
ἰών,"ἰών, ἰοῦσα, ἰόν",,going
καθεύδω,καθεύδω,verb,I sleep
καθίζω,"καθίζω, καθιῶ, ἐκάθισα",verb,I (make to) sit down
καί,καί,,"and, also, even, too"
καίπερ,καίπερ,,(+ participle) although
καίω,"καίω, καύσω, ἔκαυσα, ἐκαύθην",verb,"I burn, set on fire"
κακός,"κακός, κακή, κακόν",,"bad, wicked"
καλέω,"καλέω, καλῶ, ἐκάλεσα, ἐκλήθην",verb,"I call, summon"
καλός,"καλός, καλή, καλόν",,"beautiful, handsome, fine"
κατά,"κατά, +, gen.",,"down, down from"
κατά,"κατά, +, acc.",,"according to, by, down, along "
κατὰ γῆν,κατὰ γῆν,,by land
κατὰ θάλασσαν,κατὰ θάλασσαν,,by sea
κελεύω,κελεύω,verb,I order
κεφαλή,"κεφαλή, κεφαλῆς, ἡ",,head
κίνδυνος,"κίνδυνος, κινδύνου, ὁ",,danger
κλέπτω,"κλέπτω, κλέψω, ἔκλεψα, ἐκλάπην",verb,I steal
κολάζω,κολάζω,verb,I punish
κόπτω,"κόπτω, κόψω, ἔκοψα",verb,I cut (down)
κρύπτω,κρύπτω,verb,I hide
κτάομαι,"κτάομαι, κτήσομαι, ἐκτησάμην",verb,"I obtain, get"
κωλύω,κωλύω,verb,"(+ infin.) I hinder, prevent (someone from doing)"
λάθρᾳ,λάθρᾳ,,"in secret, secretly"
Λακεδαιμόνιοι,"Λακεδαιμόνιοι, Λακεδαιμονίων, οἱ",,the Spartans
λαμβάνω,"λαμβάνω, λήψομαι, ἔλαβον, ἐλήφθην",verb,"I take, capture"
λέγω,"λέγω, ἐρῶ, εἶπον, ἐρρήθην",verb,"I say, speak, tell"
